iter	MultiClass
0	1.049081258
1	1.004205274
2	0.9653534519
3	0.9298838123
4	0.89826793
5	0.8689760796
6	0.8427129688
7	0.8185028519
8	0.7965128163
9	0.7761385293
10	0.7568117159
11	0.73977431
12	0.7237530288
13	0.7088142718
14	0.6949943516
15	0.6821686138
16	0.6703952084
17	0.659314241
18	0.6490570082
19	0.6400876229
20	0.6307399712
21	0.6231543997
22	0.615150886
23	0.6071117652
24	0.6009020726
25	0.5939037679
26	0.5877432062
27	0.5814457801
28	0.5756745951
29	0.570180741
30	0.5653740356
31	0.5605616309
32	0.5559107545
33	0.5518314371
34	0.5475402212
35	0.5430749764
36	0.5394163391
37	0.5356733261
38	0.5326356129
39	0.5294180278
40	0.5261780488
41	0.5226486591
42	0.5199229429
43	0.5169789785
44	0.5143232734
45	0.5112617149
46	0.5090949849
47	0.506930671
48	0.504387954
49	0.5026324527
50	0.5006112117
51	0.4984854439
52	0.4963913961
53	0.4942095574
54	0.492368084
55	0.4905159607
56	0.4887126388
57	0.4868505393
58	0.4853372008
59	0.4834742102
60	0.4819478937
61	0.4803388253
62	0.4786848649
63	0.4776217545
64	0.4763672416
65	0.4747895876
66	0.4734639041
67	0.4721134768
68	0.4709334615
69	0.4696870639
70	0.4686449812
71	0.4673789957
72	0.4662697757
73	0.4650388511
74	0.4639745079
75	0.4629717717
76	0.4619783688
77	0.4609461609
78	0.4600413419
79	0.4591719838
80	0.4585049185
81	0.4573287608
82	0.4562703484
83	0.4552023807
84	0.4544343584
85	0.4535980053
86	0.4526655629
87	0.4516497351
88	0.4507631464
89	0.4501132035
90	0.4496347129
91	0.4488265857
92	0.4481560315
93	0.447353456
94	0.4462658775
95	0.445437056
96	0.4442054786
97	0.4435387726
98	0.4427889373
99	0.4421835533
100	0.4413520584
101	0.4404780677
102	0.4397528729
103	0.4389095033
104	0.4381851302
105	0.4375058071
106	0.436829865
107	0.4362728622
108	0.4356747079
109	0.4348446809
110	0.4340966212
111	0.4335736261
112	0.4327683547
113	0.4320882388
114	0.431360977
115	0.4307490149
116	0.430224138
117	0.4297140156
118	0.4293517585
119	0.4286897839
120	0.4282207632
121	0.4275593444
122	0.4270017297
123	0.4265841825
124	0.4261595575
125	0.4258016133
126	0.425241167
127	0.4249154208
128	0.4240115596
129	0.423697269
130	0.4230965115
131	0.4224193548
132	0.421976446
133	0.421262319
134	0.4206317672
135	0.4203297553
136	0.4198496514
137	0.4194771228
138	0.4190490295
139	0.4186693272
140	0.4179632614
141	0.4171591425
142	0.4164705867
143	0.416072184
144	0.4156526885
145	0.4150915017
146	0.41462833
147	0.4139149151
148	0.4134169729
149	0.4128928313
150	0.4121836847
151	0.4117779378
152	0.4112896335
153	0.4107798858
154	0.4104419769
155	0.4100034736
156	0.4095625051
157	0.4093422019
158	0.4090186668
159	0.4086939694
160	0.4081295802
161	0.4076803684
162	0.4072692789
163	0.4066495466
164	0.4059776957
165	0.4056563689
166	0.4053964525
167	0.4049722874
168	0.404690494
169	0.4044429091
170	0.4039778887
171	0.4036284038
172	0.403361051
173	0.4027956342
174	0.4023949186
175	0.4021270459
176	0.4017892074
177	0.4014351524
178	0.400988222
179	0.4004935467
180	0.4001199142
181	0.3998786705
182	0.3996485221
183	0.3992224411
184	0.3988247688
185	0.3983634531
186	0.3979525229
187	0.3974982792
188	0.3971403146
189	0.3967311462
190	0.3964069959
191	0.3960065661
192	0.3956616383
193	0.3954283379
194	0.3949387371
195	0.3947104169
196	0.3944948002
197	0.3941549004
198	0.3938412468
199	0.3933000532
200	0.3929821692
201	0.3925978229
202	0.39237324
203	0.392097063
204	0.3917609076
205	0.3913571827
206	0.3909421523
207	0.3907490625
208	0.3904036409
209	0.3900899199
210	0.3897144022
211	0.3893218541
212	0.3890636227
213	0.3885813535
214	0.3881452202
215	0.3878305438
216	0.3875500294
217	0.3872611006
218	0.3870886437
219	0.386842463
220	0.3865627797
221	0.3861794813
222	0.3859221707
