buy_threshold,sell_threshold,stop_loss,take_profit,total_return,win_rate,total_trades,max_drawdown,sharpe_ratio
0.15,0.25,2.0,1.8,-2.268331734261708,25.0,4,0,0
0.15,0.25,1.0,0.8,-2.39308862153067,25.0,4,0,0
0.15,0.25,1.0,1.0,-2.39308862153067,25.0,4,0,0
0.15,0.25,1.0,1.2,-2.39308862153067,25.0,4,0,0
0.15,0.25,1.0,1.5,-2.39308862153067,25.0,4,0,0
0.15,0.25,1.0,1.8,-2.39308862153067,25.0,4,0,0
0.15,0.25,1.2,0.8,-2.4416401770729688,25.0,4,0,0
0.15,0.25,1.2,1.0,-2.4416401770729688,25.0,4,0,0
0.15,0.25,1.2,1.2,-2.4416401770729688,25.0,4,0,0
0.15,0.25,1.2,1.5,-2.4416401770729688,25.0,4,0,0
0.15,0.25,1.2,1.8,-2.4416401770729688,25.0,4,0,0
